state_long,state_short,elec_year,gelec_dem,gelec_rep,gelec_oth
Alabama,AL,2010,515619,968181,1699
Alaska,AK,2010,60045,90839,106654
Arizona,AZ,2010,592011,1005615,110858
Arkansas,AR,2010,288156,451618,40183
California,CA,2010,5218137,4217386,564337
Colorado,CO,2010,854685,824789,98194
Connecticut,CT,2010,605204,498341,49570
Delaware,DE,2010,174012,123053,10337
Florida,FL,2010,1092936,2645743,1672427
Georgia,GA,2010,996516,1489904,68838
Hawaii,HI,2010,277228,79939,13416
Idaho,ID,2010,112057,319953,17520
Illinois,IL,2010,3360964,3456427,433066
Indiana,IN,2010,697775,952116,94590
Iowa,IA,2010,371686,718215,26162
Kansas,KS,2010,220971,587175,29546
Kentucky,KY,2010,600052,755706,338
Louisiana,LA,2010,476572,715415,73007
Maryland,MD,2010,1140531,655666,37661
Missouri,MO,2010,789736,1054160,100003
Nevada,NV,2010,362785,321361,37258
New Hampshire,NH,2010,167545,273218,14386
New York,NY,2010,5166091,2577913,1361563
North Carolina,NC,2010,1145074,1458046,56959
North Dakota,ND,2010,52955,181689,4168
Ohio,OH,2010,1503297,2168742,143059
Oklahoma,OK,2010,265814,718482,32855
Oregon,OR,2010,825507,566199,50882
Pennsylvania,PA,2010,1948716,2028945,
South Carolina,SC,2010,364598,810771,143425
South Dakota,SD,2010,,227947,
Utah,UT,2010,207685,390179,35965
Vermont,VT,2010,151281,72699,11198
Washington,WA,2010,1314930,1196164,
West Virginia,WV,2010,283358,230013,16577
Wisconsin,WI,2010,1020958,1125999,24374
